model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
deepseek,L4,8,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,8,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,9,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,9,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,10,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,10,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L5,1,code,113,0.7561,0.7522,0.7616,0.8397,0.7522,0.7404,Substantial,1.0
deepseek,L5,1,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,2,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,2,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,3,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,3,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,4,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,4,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,5,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,5,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,6,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,6,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,7,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,7,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,8,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,8,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,9,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,9,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
deepseek,L5,10,code,113,0.7519,0.7611,0.7697,0.8455,0.7611,0.7497,Substantial,1.0
deepseek,L5,10,theme,113,0.8755,0.8761,0.8768,0.8837,0.8761,0.8446,Almost Perfect,1.0
openai,L1,1,code,113,0.575,0.5664,0.614,0.7683,0.5664,0.5504,Moderate,1.0
openai,L1,1,theme,113,0.7565,0.7699,0.7695,0.8114,0.7699,0.7082,Substantial,1.0
openai,L1,2,code,113,0.5968,0.5929,0.6471,0.7847,0.5929,0.5775,Moderate,1.0
openai,L1,2,theme,113,0.7974,0.7876,0.7917,0.8196,0.7876,0.7307,Substantial,1.0
openai,L1,3,code,113,0.6267,0.5929,0.6461,0.7906,0.5929,0.5782,Moderate,1.0
openai,L1,3,theme,113,0.79,0.7788,0.7827,0.8149,0.7788,0.7193,Substantial,1.0
openai,L1,4,code,113,0.638,0.6283,0.6755,0.7956,0.6283,0.6139,Substantial,1.0
openai,L1,4,theme,113,0.8148,0.8053,0.8076,0.8314,0.8053,0.7539,Substantial,1.0
openai,L1,5,code,113,0.5836,0.5664,0.6253,0.7773,0.5664,0.551,Moderate,1.0
openai,L1,5,theme,113,0.7773,0.7611,0.7655,0.8041,0.7611,0.6966,Substantial,1.0
openai,L1,6,code,113,0.5972,0.5752,0.6304,0.7772,0.5752,0.5597,Moderate,1.0
openai,L1,6,theme,113,0.7827,0.7699,0.7739,0.8121,0.7699,0.7078,Substantial,1.0
openai,L1,7,code,113,0.586,0.5752,0.628,0.7802,0.5752,0.5598,Moderate,1.0
openai,L1,7,theme,113,0.7919,0.7788,0.7807,0.8165,0.7788,0.7196,Substantial,1.0
openai,L1,8,code,113,0.5875,0.5841,0.6384,0.7758,0.5841,0.5688,Moderate,1.0
openai,L1,8,theme,113,0.802,0.7876,0.7903,0.819,0.7876,0.7313,Substantial,1.0
openai,L1,9,code,113,0.5872,0.5487,0.6072,0.7721,0.5487,0.5331,Moderate,1.0
openai,L1,9,theme,113,0.7822,0.7699,0.7724,0.8121,0.7699,0.7079,Substantial,1.0
openai,L1,10,code,113,0.5917,0.6018,0.6477,0.7765,0.6018,0.5864,Moderate,1.0
openai,L1,10,theme,113,0.8143,0.8053,0.8081,0.8314,0.8053,0.7538,Substantial,1.0
openai,L2,1,code,113,0.5746,0.5752,0.6317,0.7696,0.5752,0.5597,Moderate,1.0
openai,L2,1,theme,113,0.7621,0.7788,0.78,0.8261,0.7788,0.7184,Substantial,1.0
openai,L2,2,code,113,0.5701,0.6018,0.6471,0.7694,0.6018,0.5863,Moderate,1.0
openai,L2,2,theme,113,0.771,0.7876,0.7889,0.8235,0.7876,0.7301,Substantial,1.0
openai,L2,3,code,113,0.6031,0.5929,0.6441,0.7777,0.5929,0.5777,Moderate,1.0
openai,L2,3,theme,113,0.7582,0.7699,0.7707,0.8108,0.7699,0.7075,Substantial,1.0
openai,L2,4,code,113,0.5701,0.5841,0.635,0.7699,0.5841,0.5684,Moderate,1.0
openai,L2,4,theme,113,0.7791,0.7965,0.798,0.8294,0.7965,0.7416,Substantial,1.0
openai,L2,5,code,113,0.5468,0.5841,0.6349,0.7667,0.5841,0.5688,Moderate,1.0
openai,L2,5,theme,113,0.6272,0.7788,0.7781,0.8255,0.7788,0.7191,Substantial,1.0
openai,L2,6,code,113,0.6412,0.6106,0.6618,0.792,0.6106,0.5963,Moderate,1.0
openai,L2,6,theme,113,0.7634,0.7788,0.7788,0.8192,0.7788,0.7187,Substantial,1.0
openai,L2,7,code,113,0.633,0.6372,0.6907,0.7984,0.6372,0.6233,Substantial,1.0
